"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",5,21,5,30,"Expected object keys to be in ascending order. 'fieldName' should be before 'label'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",6,22,6,31,"Expected object keys to be in ascending order. 'fieldName' should be before 'label'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",6,61,6,75,"Expected object keys to be in ascending order. 'cellAttributes' should be before 'type'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",7,23,7,32,"Expected object keys to be in ascending order. 'fieldName' should be before 'label'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",8,29,8,38,"Expected object keys to be in ascending order. 'fieldName' should be before 'label'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",20,5,20,11,"Expected object keys to be in ascending order. 'fields' should be before 'relatedListId'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",34,9,34,16,"Expected object keys to be in ascending order. 'arrival' should be before 'quantity'.","https://eslint.org/docs/latest/rules/sort-keys"
"no-undefined","eslint",3,"BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",37,20,37,29,"Unexpected use of undefined.","https://eslint.org/docs/latest/rules/no-undefined"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","force-app/main/default/lwc/installationTimeline/installationTimeline.js",45,31,45,32,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/parse-claim.mjs",13,14,13,25,"Usage of `process.env.ISSUE_BODY` is not allowed",
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",14,1,14,56,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/parse-claim.mjs",14,17,14,28,"Usage of `process.env.ISSUE_AUTHOR` is not allowed",
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",17,1,29,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
