"Id","External_Id__c","Status__c","Install_Date__c","Roof_Type__c","Crew_Size__c","Total_Capacity_kW__c"
"FKSEEXGTEQERZFH0XU","HEL-INST-001","Completed","2025-11-04","Slate","#N/A","11.80"
"VVENQFYB1JX3XKO8Z0","HEL-INST-002","Completed","2025-09-20","Slate","#N/A","6.40"
"50REQMPRSUZZVR33UQ","HEL-INST-003","Completed","2025-10-07","Metal","#N/A","8.60"
"J0RMV1WS2V2VWV6C2H","HEL-INST-004","Completed","2025-11-06","Metal","#N/A","6.50"
"0SJV2F5HHK9YHZYMAT","HEL-INST-005","Completed","2025-10-10","Tile","#N/A","5.70"
"DTUXFLEOZJ1UHEZXWI","HEL-INST-006","Completed","2025-09-20","Metal","#N/A","5.80"
"HADPKCTCMGCVRJVDYS","HEL-INST-007","Completed","2025-10-29","Tile","#N/A","13.00"
"NPLTLLJFGHDYJWNHBU","HEL-INST-008","Completed","2025-09-21","Slate","#N/A","10.60"
"GVIXXIMRWTYAJLHPHJ","HEL-INST-009","In Progress","2026-01-22","Slate","#N/A","10.50"
"YNWYJC4G6LYQHEXFRW","HEL-INST-010","In Progress","2026-03-09","Metal","#N/A","7.00"
"LE9RPPL2VPAEXYW5HK","HEL-INST-011","In Progress","2026-03-23","Metal","#N/A","3.70"
"JMTJ1YKT8JRMKCSFXM","HEL-INST-012","In Progress","2026-02-09","Tile","#N/A","4.70"
"G17CE126XBYZZE857C","HEL-INST-013","Scheduled","2026-02-13","Flat","#N/A","6.40"
"QK8TXYCAPRMRMB145P","HEL-INST-014","Scheduled","2026-03-17","Flat","#N/A","6.70"
"7ANZB4PXLRORYX9K7E","HEL-INST-015","Scheduled","2026-02-11","Slate","#N/A","12.50"
"BOGIIJQ9YXIQ8AY3BD","HEL-INST-016","Scheduled","2026-03-20","Tile","#N/A","8.40"
"7RROXGZHPVZ1DKNFFD","HEL-INST-017","Scheduled","2026-01-26","Tile","#N/A","5.50"
"I19STDNWFESLUVMOLD","HEL-INST-018","Scheduled","2026-02-05","Metal","#N/A","4.10"
"91YYJYXU7RBJJKMQ6S","HEL-INST-019","Scheduled","2026-02-28","Tile","#N/A","11.80"
"LGAHBA6EYTR62DYSAM","HEL-INST-020","Scheduled","2026-03-03","Flat","#N/A","14.00"
"2RMTHXAWXJBYDHTQYT","HEL-INST-021","Planned","2026-02-18","Metal","#N/A","12.30"
"DUNKRRUVQUVM4LO5V2","HEL-INST-022","Planned","2026-03-24","Tile","#N/A","4.30"
"VROJ9SGLWXHKGKROHA","HEL-INST-023","Planned","2026-03-07","Flat","#N/A","9.10"
"DN6OEI9UB1PBTIFJNX","HEL-INST-024","Planned","2026-02-05","Flat","#N/A","7.00"
"FITRQSVXPGIGEVVDWS","HEL-INST-025","Planned","2026-04-06","Flat","#N/A","3.10"
"ZOELMHWLCE6ELIYXX8","HEL-INST-026","Planned","2026-02-07","Tile","#N/A","10.80"
"FBHFPUSLKVPPFYUA1W","HEL-INST-027","Planned","2026-01-25","Slate","#N/A","12.30"
"QHV8DB6CVTAXLEUVDC","HEL-INST-028","Planned","2026-02-24","Metal","#N/A","8.10"
"TXQTIORHGYLDNIVRCR","HEL-INST-029","Planned","2026-03-25","Tile","#N/A","11.20"
"ZLMS0YUBW8KPD9IOPL","HEL-INST-030","Planned","2026-03-07","Flat","#N/A","5.80"
