"Id","Name","StageName","CloseDate","Amount","Type"
"HT9SHBWAQOLIRVWLCO","Bari Terraces 04 - Rooftop array 01","Proposal/Price Quote","2026-04-17","45000","New Customer"
"KBGKPZSDATWRLWKRYV","Faro Terraces 07 - Rooftop array 02","Negotiation/Review","2026-02-22","62000","New Customer"
"3Y6HXKO6ZWWNMFO1J8","Lisboa Residences 10 - Rooftop array 03","Proposal/Price Quote","2025-11-16","55000","New Customer"
"PZTI54HMZRCQAH0T4M","Bari Properties 13 - Rooftop array 04","Prospecting","2026-03-19","29000","New Customer"
"YKTMSJU8LEVWLTHXZM","Cagliari Residences 16 - Rooftop array 05","Proposal/Price Quote","2025-11-17","65000","New Customer"
"NNHBFBBVIM7IH37MOE","Bari Properties 19 - Rooftop array 06","Prospecting","2026-03-31","43000","New Customer"
"FQGUM2G1Z1YGKPC6XF","Bari Homes 22 - Rooftop array 07","Proposal/Price Quote","2026-05-10","35000","New Customer"
"A8P7DHKVPNJLJWNRCK","Faro Energy Coop 25 - Rooftop array 08","Prospecting","2026-03-20","19000","New Customer"
"VJZVVASVFELPK7WC5V","Malaga Villas 28 - Rooftop array 09","Prospecting","2025-12-18","75000","New Customer"
"NJNIKHDEEARNZ81DMR","Lisboa Residences 31 - Rooftop array 10","Proposal/Price Quote","2025-11-22","70000","New Customer"
"WEFGV0MPHF3SQCDCTY","Cagliari Homes 34 - Rooftop array 11","Closed Won","2026-05-08","34000","New Customer"
"U4QQP7NNK2LPQ1IQQS","Athina Housing 37 - Rooftop array 12","Prospecting","2025-12-25","47000","New Customer"
"WAP3TSY77NYETHO1OM","Cagliari Terraces 40 - Rooftop array 13","Proposal/Price Quote","2026-01-03","49000","New Customer"
"YJSZ7JGDHYRPYNFXIQ","Athina Villas 03 - Rooftop array 14","Prospecting","2026-05-10","21000","New Customer"
"ITDXW7JWYEUM3A3NED","Marseille Housing 06 - Rooftop array 15","Closed Won","2026-04-19","86000","New Customer"
"GV3P8HRGF5WVKJENGJ","Valencia Terraces 09 - Rooftop array 16","Negotiation/Review","2026-03-07","74000","New Customer"
"UXSMN7MV8PSPXR8X4Q","Sevilla Residences 12 - Rooftop array 17","Negotiation/Review","2026-04-19","87000","New Customer"
"GMQWQ80VJ6W0U2GPP1","Lisboa Homes 15 - Rooftop array 18","Prospecting","2025-12-20","41000","New Customer"
"FKLW1GWXPF4TLWZUSL","Thessaloniki Rooftops 18 - Rooftop array 19","Negotiation/Review","2026-03-14","9000","New Customer"
"QQE6QVCIWLDY53YTH5","Faro Estates 21 - Rooftop array 20","Negotiation/Review","2026-02-25","59000","New Customer"
"TNAZRQ9ITSBQQO61ZW","Montpellier Residences 24 - Rooftop array 21","Closed Won","2025-12-12","88000","New Customer"
"OTG1KFT2XNBB9STKOU","Faro Housing 27 - Rooftop array 22","Closed Won","2025-12-03","80000","New Customer"
"FXWSTDYTOFO0ASHOAB","Montpellier Properties 30 - Rooftop array 23","Closed Won","2025-12-26","90000","New Customer"
"ASMVJEIOZSOSVXBQ9X","Bari Residences 33 - Rooftop array 24","Prospecting","2025-12-17","95000","New Customer"
"ZZJRGAZ89PKSAM9TA1","Palermo Villas 36 - Rooftop array 25","Negotiation/Review","2026-04-15","29000","New Customer"
