"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c"
"VLETW7D8H92WZEICXK","HEL-BATCH-001","16","2025-11-20","HS2024-89","3051.00"
"IEU0MHXATWQQBHORRD","HEL-BATCH-002","25","2026-02-27","HS2026-93","4043.00"
"TVCBI1NEXIK3KYL9RR","HEL-BATCH-003","11","2026-01-20","HS2025-18","2401.00"
"NR1LMAJ92AHTPH8L8G","HEL-BATCH-004","23","2025-11-16","HS2026-01","3480.00"
"QR7R9SHG8BM9TOFVOY","HEL-BATCH-005","16","2026-02-06","HS2026-81","4291.00"
"TAU5D8JJUQIIWD4YTQ","HEL-BATCH-006","27","2025-11-06","HS2026-18","4045.00"
"UO5XCGVTGN4XU0PAVY","HEL-BATCH-007","23","2025-11-12","HS2024-88","2929.00"
"L0ERDX0DD0SEMBOYBZ","HEL-BATCH-008","14","2025-12-24","HS2026-06","4239.00"
"YNAUQIW9IBP4K9BMET","HEL-BATCH-009","30","2026-02-03","HS2024-69","2341.00"
"C4W53FUYB0KM5BLZFN","HEL-BATCH-010","19","2025-10-19","HS2025-70","2054.00"
"QSXVGRUTVDQVNJOT2R","HEL-BATCH-011","22","2026-02-24","HS2024-43","1074.00"
"E5Z1GR3A4AVAMAW1JB","HEL-BATCH-012","32","2025-11-10","HS2026-64","2639.00"
"8KVQBT61QTRJRI0XFI","HEL-BATCH-013","9","2025-11-20","HS2025-65","3754.00"
"PXTIWZG1T47EKRJ80Q","HEL-BATCH-014","32","2026-02-04","HS2025-18","1236.00"
"U9HAFTDIVWEGGTB5O1","HEL-BATCH-015","17","2026-01-05","HS2024-90","4618.00"
"3LVQPKBTCOPXGPEJ4I","HEL-BATCH-016","16","2025-12-05","HS2026-56","3622.00"
"I6OD4NHQ75DOSAVP72","HEL-BATCH-017","14","2025-11-14","HS2025-38","1077.00"
"RBWELDQZGQ4ZEUCNDF","HEL-BATCH-018","17","2025-12-12","HS2024-88","3497.00"
"BJEDUE3KNZ7ONT5U82","HEL-BATCH-019","25","2026-02-18","HS2026-52","1923.00"
"NDWZ6LHLNDCI8ZZAD8","HEL-BATCH-020","12","2025-10-31","HS2025-79","1066.00"
"HXQVSZVSZ9MEFDTXJJ","HEL-BATCH-021","20","2025-11-17","HS2025-51","2028.00"
"D3HSQ8Q0LR5QWSNNTB","HEL-BATCH-022","20","2025-12-08","HS2025-45","2814.00"
"NZC4OPL3CPJMEP1X6T","HEL-BATCH-023","31","2025-12-02","HS2025-71","1652.00"
"PRMBQZSIBKQPERZJ8P","HEL-BATCH-024","24","2026-02-25","HS2024-54","3242.00"
"1YGBAULWRJIJVXAIZ7","HEL-BATCH-025","17","2025-11-04","HS2024-23","3019.00"
