"Id","Name","Type","Industry","BillingCity","BillingCountry","Phone","Description","Errors"
"001g700000rY6UIAA0","Sevilla Housing 01","Customer - Channel","Construction","Sevilla","Spain","+34 939 183 479","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UJAA0","Sevilla Energy Coop 02","Customer - Direct","Real Estate","Sevilla","Spain","+34 989 287 720","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UKAA0","Athina Villas 03","Customer - Direct","Construction","Athina","Greece","+34 938 384 613","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6ULAA0","Bari Terraces 04","Customer - Channel","Construction","Bari","Italy","+34 935 427 711","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UMAA0","Sevilla Terraces 05","Customer - Channel","Real Estate","Sevilla","Spain","+34 979 468 868","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UNAA0","Marseille Housing 06","Customer - Direct","Energy","Marseille","France","+34 922 448 321","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UOAA0","Faro Terraces 07","Prospect","Energy","Faro","Portugal","+34 980 954 960","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UPAA0","Malaga Estates 08","Prospect","Construction","Malaga","Spain","+34 916 385 877","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UQAA0","Valencia Terraces 09","Customer - Direct","Construction","Valencia","Spain","+34 995 809 126","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6URAA0","Lisboa Residences 10","Customer - Direct","Real Estate","Lisboa","Portugal","+34 988 486 857","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6USAA0","Perpignan Residences 11","Prospect","Energy","Perpignan","France","+34 977 310 176","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UTAA0","Sevilla Residences 12","Prospect","Real Estate","Sevilla","Spain","+34 945 815 718","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UUAA0","Bari Properties 13","Prospect","Real Estate","Bari","Italy","+34 926 431 277","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UVAA0","Bari Residences 14","Customer - Channel","Energy","Bari","Italy","+34 993 744 481","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
