"Id","External_Id__c","Status__c","Install_Date__c","Roof_Type__c","Crew_Size__c","Total_Capacity_kW__c","Errors"
"a00g7000028DPL3AAO","HEL-INST-001","Completed","2025-11-04","Slate","#N/A","11.8","#N/A"
"a00g7000028DPL4AAO","HEL-INST-002","Completed","2025-09-20","Slate","#N/A","6.4","#N/A"
"a00g7000028DPL5AAO","HEL-INST-003","Completed","2025-10-07","Metal","#N/A","8.6","#N/A"
"a00g7000028DPL6AAO","HEL-INST-004","Completed","2025-11-06","Metal","#N/A","6.5","#N/A"
"a00g7000028DPL7AAO","HEL-INST-005","Completed","2025-10-10","Tile","#N/A","5.7","#N/A"
"a00g7000028DPL8AAO","HEL-INST-006","Completed","2025-09-20","Metal","#N/A","5.8","#N/A"
"a00g7000028DPL9AAO","HEL-INST-007","Completed","2025-10-29","Tile","#N/A","13","#N/A"
"a00g7000028DPLAAA4","HEL-INST-008","Completed","2025-09-21","Slate","#N/A","10.6","#N/A"
"a00g7000028DPLBAA4","HEL-INST-009","In Progress","2026-01-22","Slate","#N/A","10.5","#N/A"
"a00g7000028DPLCAA4","HEL-INST-010","In Progress","2026-03-09","Metal","#N/A","7","#N/A"
"a00g7000028DPLDAA4","HEL-INST-011","In Progress","2026-03-23","Metal","#N/A","3.7","#N/A"
"a00g7000028DPLEAA4","HEL-INST-012","In Progress","2026-02-09","Tile","#N/A","4.7","#N/A"
"a00g7000028DPLFAA4","HEL-INST-013","Scheduled","2026-02-13","Flat","#N/A","6.4","#N/A"
"a00g7000028DPLGAA4","HEL-INST-014","Scheduled","2026-03-17","Flat","#N/A","6.7","#N/A"
"a00g7000028DPLHAA4","HEL-INST-015","Scheduled","2026-02-11","Slate","#N/A","12.5","#N/A"
"a00g7000028DPLIAA4","HEL-INST-016","Scheduled","2026-03-20","Tile","#N/A","8.4","#N/A"
"a00g7000028DPLJAA4","HEL-INST-017","Scheduled","2026-01-26","Tile","#N/A","5.5","#N/A"
"a00g7000028DPLKAA4","HEL-INST-018","Scheduled","2026-02-05","Metal","#N/A","4.1","#N/A"
"a00g7000028DPLLAA4","HEL-INST-019","Scheduled","2026-02-28","Tile","#N/A","11.8","#N/A"
"a00g7000028DPLMAA4","HEL-INST-020","Scheduled","2026-03-03","Flat","#N/A","14","#N/A"
"a00g7000028DPLNAA4","HEL-INST-021","Planned","2026-02-18","Metal","#N/A","12.3","#N/A"
"a00g7000028DPLOAA4","HEL-INST-022","Planned","2026-03-24","Tile","#N/A","4.3","#N/A"
"a00g7000028DPLPAA4","HEL-INST-023","Planned","2026-03-07","Flat","#N/A","9.1","#N/A"
"a00g7000028DPLQAA4","HEL-INST-024","Planned","2026-02-05","Flat","#N/A","7","#N/A"
"a00g7000028DPLRAA4","HEL-INST-025","Planned","2026-04-06","Flat","#N/A","3.1","#N/A"
"a00g7000028DPLSAA4","HEL-INST-026","Planned","2026-02-07","Tile","#N/A","10.8","#N/A"
"a00g7000028DPLTAA4","HEL-INST-027","Planned","2026-01-25","Slate","#N/A","12.3","#N/A"
"a00g7000028DPLUAA4","HEL-INST-028","Planned","2026-02-24","Metal","#N/A","8.1","#N/A"
"a00g7000028DPLVAA4","HEL-INST-029","Planned","2026-03-25","Tile","#N/A","11.2","#N/A"
"a00g7000028DPLWAA4","HEL-INST-030","Planned","2026-03-07","Flat","#N/A","5.8","#N/A"
