"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c","Errors"
"a01g700000rXVg3AAG","HEL-BATCH-001","16","2025-11-20","HS2024-89","3051","#N/A"
"a01g700000rXVg4AAG","HEL-BATCH-002","25","2026-02-27","HS2026-93","4043","#N/A"
"a01g700000rXVg5AAG","HEL-BATCH-003","11","2026-01-20","HS2025-18","2401","#N/A"
"a01g700000rXVg6AAG","HEL-BATCH-004","23","2025-11-16","HS2026-01","3480","#N/A"
"a01g700000rXVg7AAG","HEL-BATCH-005","16","2026-02-06","HS2026-81","4291","#N/A"
"a01g700000rXVg8AAG","HEL-BATCH-006","27","2025-11-06","HS2026-18","4045","#N/A"
"a01g700000rXVg9AAG","HEL-BATCH-007","23","2025-11-12","HS2024-88","2929","#N/A"
"a01g700000rXVgAAAW","HEL-BATCH-008","14","2025-12-24","HS2026-06","4239","#N/A"
"a01g700000rXVgBAAW","HEL-BATCH-009","30","2026-02-03","HS2024-69","2341","#N/A"
"a01g700000rXVgCAAW","HEL-BATCH-010","19","2025-10-19","HS2025-70","2054","#N/A"
"a01g700000rXVgDAAW","HEL-BATCH-011","22","2026-02-24","HS2024-43","1074","#N/A"
"a01g700000rXVgEAAW","HEL-BATCH-012","32","2025-11-10","HS2026-64","2639","#N/A"
"a01g700000rXVgFAAW","HEL-BATCH-013","9","2025-11-20","HS2025-65","3754","#N/A"
"a01g700000rXVgGAAW","HEL-BATCH-014","32","2026-02-04","HS2025-18","1236","#N/A"
"a01g700000rXVgHAAW","HEL-BATCH-015","17","2026-01-05","HS2024-90","4618","#N/A"
"a01g700000rXVgIAAW","HEL-BATCH-016","16","2025-12-05","HS2026-56","3622","#N/A"
"a01g700000rXVgJAAW","HEL-BATCH-017","14","2025-11-14","HS2025-38","1077","#N/A"
"a01g700000rXVgKAAW","HEL-BATCH-018","17","2025-12-12","HS2024-88","3497","#N/A"
"a01g700000rXVgLAAW","HEL-BATCH-019","25","2026-02-18","HS2026-52","1923","#N/A"
"a01g700000rXVgMAAW","HEL-BATCH-020","12","2025-10-31","HS2025-79","1066","#N/A"
"a01g700000rXVgNAAW","HEL-BATCH-021","20","2025-11-17","HS2025-51","2028","#N/A"
"a01g700000rXVgOAAW","HEL-BATCH-022","20","2025-12-08","HS2025-45","2814","#N/A"
"a01g700000rXVgPAAW","HEL-BATCH-023","31","2025-12-02","HS2025-71","1652","#N/A"
"a01g700000rXVgQAAW","HEL-BATCH-024","24","2026-02-25","HS2024-54","3242","#N/A"
"a01g700000rXVgRAAW","HEL-BATCH-025","17","2025-11-04","HS2024-23","3019","#N/A"
"a01g700000rXVgSAAW","HEL-BATCH-026","12","2025-10-19","HS2024-34","903","#N/A"
"a01g700000rXVgTAAW","HEL-BATCH-027","20","2026-02-19","HS2026-84","2541","#N/A"
"a01g700000rXVgUAAW","HEL-BATCH-028","8","2025-11-09","HS2026-49","1153","#N/A"
"a01g700000rXVgVAAW","HEL-BATCH-029","18","2026-02-17","HS2024-52","1241","#N/A"
"a01g700000rXVgWAAW","HEL-BATCH-030","18","2026-03-08","HS2026-25","2427","#N/A"
"a01g700000rXVgXAAW","HEL-BATCH-031","28","2026-01-13","HS2024-28","3705","#N/A"
"a01g700000rXVgYAAW","HEL-BATCH-032","25","2025-12-29","HS2026-42","3739","#N/A"
"a01g700000rXVgZAAW","HEL-BATCH-033","28","2025-11-18","HS2024-01","2722","#N/A"
"a01g700000rXVgaAAG","HEL-BATCH-034","18","2025-11-05","HS2026-28","2199","#N/A"
"a01g700000rXVgbAAG","HEL-BATCH-035","31","2025-11-12","HS2026-27","4251","#N/A"
"a01g700000rXVgcAAG","HEL-BATCH-036","23","2025-10-22","HS2026-77","3855","#N/A"
"a01g700000rXVgdAAG","HEL-BATCH-037","13","2025-11-25","HS2026-19","4290","#N/A"
"a01g700000rXVgeAAG","HEL-BATCH-038","12","2025-12-24","HS2025-03","1477","#N/A"
"a01g700000rXVgfAAG","HEL-BATCH-039","23","2026-01-27","HS2025-10","4077","#N/A"
"a01g700000rXVggAAG","HEL-BATCH-040","23","2026-03-12","HS2025-09","2778","#N/A"
"a01g700000rXVghAAG","HEL-BATCH-041","22","2025-11-19","HS2025-44","2726","#N/A"
"a01g700000rXVgiAAG","HEL-BATCH-042","9","2026-01-16","HS2024-82","2726","#N/A"
"a01g700000rXVgjAAG","HEL-BATCH-043","18","2025-11-20","HS2024-29","3367","#N/A"
"a01g700000rXVgkAAG","HEL-BATCH-044","19","2025-10-30","HS2025-70","2258","#N/A"
"a01g700000rXVglAAG","HEL-BATCH-045","21","2026-02-17","HS2025-25","3055","#N/A"
"a01g700000rXVgmAAG","HEL-BATCH-046","13","2025-11-28","HS2025-42","4153","#N/A"
"a01g700000rXVgnAAG","HEL-BATCH-047","23","2025-10-21","HS2026-74","3564","#N/A"
"a01g700000rXVgoAAG","HEL-BATCH-048","10","2026-02-09","HS2024-24","2798","#N/A"
"a01g700000rXVgpAAG","HEL-BATCH-049","14","2026-03-14","HS2026-09","2160","#N/A"
"a01g700000rXVgqAAG","HEL-BATCH-050","10","2026-02-06","HS2026-90","4574","#N/A"
"a01g700000rXVgrAAG","HEL-BATCH-051","15","2026-01-04","HS2024-11","3060","#N/A"
"a01g700000rXVgsAAG","HEL-BATCH-052","16","2026-03-01","HS2024-97","2604","#N/A"
"a01g700000rXVgtAAG","HEL-BATCH-053","23","2025-11-12","HS2024-39","1420","#N/A"
"a01g700000rXVguAAG","HEL-BATCH-054","12","2026-03-07","HS2026-33","4264","#N/A"
"a01g700000rXVgvAAG","HEL-BATCH-055","28","2026-01-08","HS2024-10","2953","#N/A"
"a01g700000rXVgwAAG","HEL-BATCH-056","23","2025-10-31","HS2025-76","2660","#N/A"
"a01g700000rXVgxAAG","HEL-BATCH-057","15","2025-11-20","HS2026-10","2160","#N/A"
"a01g700000rXVgyAAG","HEL-BATCH-058","31","2026-01-14","HS2024-04","4263","#N/A"
"a01g700000rXVgzAAG","HEL-BATCH-059","27","2025-10-29","HS2026-19","2320","#N/A"
"a01g700000rXVh0AAG","HEL-BATCH-060","17","2025-12-22","HS2025-88","3388","#N/A"
"a01g700000rXVh1AAG","HEL-BATCH-061","15","2026-02-07","HS2025-82","3415","#N/A"
"a01g700000rXVh2AAG","HEL-BATCH-062","14","2026-01-05","HS2026-51","4721","#N/A"
"a01g700000rXVh3AAG","HEL-BATCH-063","22","2025-10-25","HS2025-36","4418","#N/A"
"a01g700000rXVh4AAG","HEL-BATCH-064","15","2026-01-12","HS2026-83","2585","#N/A"
"a01g700000rXVh5AAG","HEL-BATCH-065","32","2026-02-03","HS2026-33","1006","#N/A"
"a01g700000rXVh6AAG","HEL-BATCH-066","9","2025-11-06","HS2025-01","2689","#N/A"
"a01g700000rXVh7AAG","HEL-BATCH-067","21","2025-12-21","HS2025-92","2947","#N/A"
"a01g700000rXVh8AAG","HEL-BATCH-068","14","2026-02-12","HS2025-85","3243","#N/A"
"a01g700000rXVh9AAG","HEL-BATCH-069","25","2025-12-18","HS2024-84","4118","#N/A"
"a01g700000rXVhAAAW","HEL-BATCH-070","24","2025-12-01","HS2025-11","1703","#N/A"
"a01g700000rXVhBAAW","HEL-BATCH-071","23","2026-01-13","HS2024-07","4793","#N/A"
"a01g700000rXVhCAAW","HEL-BATCH-072","20","2025-12-17","HS2025-94","920","#N/A"
"a01g700000rXVhDAAW","HEL-BATCH-073","19","2026-01-03","HS2024-55","4188","#N/A"
"a01g700000rXVhEAAW","HEL-BATCH-074","20","2026-03-09","HS2025-94","4635","#N/A"
"a01g700000rXVhFAAW","HEL-BATCH-075","17","2026-02-07","HS2026-60","1154","#N/A"
"a01g700000rXVhGAAW","HEL-BATCH-076","26","2026-02-24","HS2026-44","3167","#N/A"
"a01g700000rXVhHAAW","HEL-BATCH-077","10","2026-01-03","HS2025-24","3141","#N/A"
"a01g700000rXVhIAAW","HEL-BATCH-078","10","2026-02-12","HS2024-29","3114","#N/A"
"a01g700000rXVhJAAW","HEL-BATCH-079","31","2026-01-01","HS2024-15","1093","#N/A"
"a01g700000rXVhKAAW","HEL-BATCH-080","19","2026-02-25","HS2026-94","1691","#N/A"
