"Id","External_Id__c","Crew_Type__c","Roof_Type__c","Panels_Per_Day__c"
"a04cU000009eRsuQAE","CAP-ROOF-TILE","Roof","Tile","18"
"a04cU000009eRsvQAE","CAP-ROOF-SLATE","Roof","Slate","14"
"a04cU000009eRswQAE","CAP-ROOF-FLAT","Roof","Flat","26"
"a04cU000009eRsxQAE","CAP-ROOF-METAL","Roof","Metal","22"
"a04cU000009eRsyQAE","CAP-GROUND-TILE","Ground","Tile","14"
"a04cU000009eRszQAE","CAP-GROUND-SLATE","Ground","Slate","10"
"a04cU000009eRt0QAE","CAP-GROUND-FLAT","Ground","Flat","22"
"a04cU000009eRt1QAE","CAP-GROUND-METAL","Ground","Metal","18"
"a04cU000009eRt2QAE","CAP-ELECTRICAL-TILE","Electrical","Tile","14"
"a04cU000009eRt3QAE","CAP-ELECTRICAL-SLATE","Electrical","Slate","10"
"a04cU000009eRt4QAE","CAP-ELECTRICAL-FLAT","Electrical","Flat","22"
"a04cU000009eRt5QAE","CAP-ELECTRICAL-METAL","Electrical","Metal","18"
