"Id","External_Id__c","Label__c","Sequence__c","Is_Template__c"
"a05cU00000L8A51QAF","HANDOVER-TPL-01","Panels fixed and torqued","10","true"
"a05cU00000L8A52QAF","HANDOVER-TPL-02","Inverter commissioned","20","true"
"a05cU00000L8A53QAF","HANDOVER-TPL-03","Isolator labelled","30","true"
"a05cU00000L8A54QAF","HANDOVER-TPL-04","Roof penetrations sealed","40","true"
"a05cU00000L8A55QAF","HANDOVER-TPL-05","Monitoring app connected","50","true"
"a05cU00000L8A56QAF","HANDOVER-TPL-06","Customer shown the isolator","60","true"
"a05cU00000L8A57QAF","HANDOVER-TPL-07","Warranty documents handed over","70","true"
"a05cU00000L8A58QAF","HANDOVER-TPL-08","Site cleared of offcuts","80","true"
"a05cU00000L8A59QAF","HANDOVER-TPL-09","Photos of the array uploaded","90","true"
"a05cU00000L8A5AQAV","HANDOVER-TPL-10","Customer signature collected","100","true"
